platform,platform_label,platform_status,workload,workload_label,model_active_ratio,backend,backend_label,latency_ms,ideal_latency_ms,energy_j_per_frame,latency_source,ideal_source,active_ratio_source,energy_source
a100,NVIDIA A100,measured,dynconv_pose,DynConv,0.155603885,tile_skip,Tile skipping,8.972851819,0.914431004,,logs/dynconv_pose/a100-full-s0125-r3/summary.json,logs/dynconv_pose/a100-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,dynconv_pose,DynConv,0.155603885,gather_scatter,Gather-scatter,51.645828475,0.914431004,,logs/dynconv_pose/a100-full-s0125-r3/summary.json,logs/dynconv_pose/a100-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
a100,NVIDIA A100,measured,dynconv_pose,DynConv,0.155603885,wiseconv,WISEConv,3.604550045,0.914431004,,logs/dynconv_pose/a100-full-s0125-r3/summary.json,logs/dynconv_pose/a100-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4090,RTX 4090,measured,fireflownet,FireFlowNet,0.249227525,dense,Dense,0.415366158,0.103537268,,logs/optical_flow/dense/4090-full-r3/summary.json,logs/optical_flow/dense/4090-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,fireflownet,FireFlowNet,0.249227525,tile_skip,Tile skipping,0.407311781,0.103537268,,logs/optical_flow/tile_skip/4090-full-r3/summary.json,logs/optical_flow/dense/4090-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,fireflownet,FireFlowNet,0.249227525,gather_scatter,Gather-scatter,3.062136571,0.103537268,,logs/optical_flow/gather_scatter/4090-full-r3/summary.json,logs/optical_flow/dense/4090-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,fireflownet,FireFlowNet,0.249227525,wiseconv,WISEConv,0.309325136,0.103537268,,logs/optical_flow/wiseconv/4090-full-r3/summary.json,logs/optical_flow/dense/4090-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,yolov8n,YOLOv8n,0.477779588,dense,Dense,2.168510087,1.036069551,,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,yolov8n,YOLOv8n,0.477779588,tile_skip,Tile skipping,2.969724918,1.036069551,,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,yolov8n,YOLOv8n,0.477779588,gather_scatter,Gather-scatter,16.070756960,1.036069551,,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,yolov8n,YOLOv8n,0.477779588,wiseconv,WISEConv,1.184484198,1.036069551,,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
4090,RTX 4090,measured,yolov8m,YOLOv8m,0.493417637,dense,Dense,6.438898986,3.177162321,,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4090-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
